;bait;baitGene;prey;preyGene;Protein names_x;Unnamed: 5;FlyBase;trueCounts;ucCounts;ccCounts;sumSPC;avgSPC;FC_A;FC_B;SP;compass;eScore;iRef;iRef2;intAct;intAct2;From;Entry;Reviewed;Entry Name;Protein names_y;Gene Names;Length;Gene Names (ORF);Gene Names (primary);Gene Names (synonym);Gene Ontology (GO);Organism (ID);VEuPathDB
105;MTCNK7H30;MTCNK7H30;Q7KKH3;Mys45A;Protein SDA1 homolog (Mystery protein 45A);;"FBgn0033379;";0|0|2;0|0|0;-;2;0,666666667;1,607712479;1,413331398;0,26;0;0;0;0;0;0;Q7KKH3;Q7KKH3;reviewed;SDA1_DROME;Protein SDA1 homolog (Mystery protein 45A);Mys45A CG8070;712,0;CG8070;Mys45A;;"nucleolus [GO:0005730]; protein transport [GO:0015031]; ribosomal large subunit biogenesis [GO:0042273]; ribosomal large subunit export from nucleus [GO:0000055]";7227,0;FBgn0033379
106;MTCNK7H30;MTCNK7H30;Q8IPP8;Q8IPP8;Uncharacterized protein (EC 1.1.1.62, EC 1.1.1.64);;"FBgn0051548;";2|0|0;0|0|0;-;2;0,666666667;1,996744632;1,586108106;0,26;0;0;0;0;0;0;Q8IPP8;Q8IPP8;unreviewed;Q8IPP8_DROME;Uncharacterized protein (EC 1.1.1.62, EC 1.1.1.64);Dmel\CG31548 BcDNA:RH24570 CG2907 CG31548 Dmel_CG31548;256,0;CG31548 Dmel_CG31548;Dmel\CG31548;BcDNA:RH24570 CG2907;"estradiol 17-beta-dehydrogenase [NAD(P)] activity [GO:0004303]; testosterone 17-beta-dehydrogenase (NADP+) activity [GO:0047045]";7227,0;FBgn0051548
107;MTCNK7H30;MTCNK7H30;Q9VL06;Q9VL06;E3 ubiquitin-protein ligase Ufd4 (EC 2.3.2.26) (Ubiquitin fusion-degradation 4-like);;"FBgn0032208;";2|0|0;0|0|0;-;2;0,666666667;1,996744632;1,586108106;0,26;0;0;0;0;0;0;Q9VL06;Q9VL06;reviewed;UFD4_DROME;E3 ubiquitin-protein ligase Ufd4 (EC 2.3.2.26) (Ubiquitin fusion-degradation 4-like);Ufd4 CG5604;2727,0;CG5604;Ufd4;;"nuclear speck [GO:0016607]; nucleus [GO:0005634]; metal ion binding [GO:0046872]; ubiquitin protein ligase activity [GO:0061630]; anatomical structure development [GO:0048856]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein K63-linked ubiquitination [GO:0070534]; ubiquitin-dependent protein catabolic process [GO:0006511]";7227,0;FBgn0032208
108;MTCNK7H30;MTCNK7H30;A0A1B2AJC2;A0A1B2AJC2;Small nuclear ribonucleoprotein Sm D2 (Sm-D2) (snRNP core protein D2);;;0|0|2;0|0|0;-;2;0,666666667;1,607712479;1,413331398;0,26;0;0;0;0;0;0;A0A1B2AJC2;A0A1B2AJC2;unreviewed;A0A1B2AJC2_DROME;Small nuclear ribonucleoprotein Sm D2 (Sm-D2) (snRNP core protein D2);;119,0;;;;"cytosol [GO:0005829]; small nuclear ribonucleoprotein complex [GO:0030532]; spliceosomal complex [GO:0005681]; RNA binding [GO:0003723]; mRNA processing [GO:0006397]; RNA splicing [GO:0008380]";7227,0;FBgn0261789
109;MTCNK7H30;MTCNK7H30;Q9VLK1;Q9VLK1;U3 small nucleolar ribonucleoprotein protein MPP10;;"FBgn0032051;";0|0|2;0|0|0;-;2;0,666666667;1,607712479;1,413331398;0,26;0;0;0;0;0;0;Q9VLK1;Q9VLK1;unreviewed;Q9VLK1_DROME;U3 small nucleolar ribonucleoprotein protein MPP10;Dmel\CG13097 CG13097 Dmel_CG13097;662,0;CG13097 Dmel_CG13097;Dmel\CG13097;;"Mpp10 complex [GO:0034457]; small-subunit processome [GO:0032040]; sno(s)RNA-containing ribonucleoprotein complex [GO:0005732]; rRNA processing [GO:0006364]";7227,0;FBgn0032051
110;MTCNK7H30;MTCNK7H30;Q9V3C6;CG11382-RB;EG:BACR42I17.10 protein (FI03719p) (Uncharacterized protein, isoform B) (Uncharacterized protein, isoform C);;"FBgn0040367;";0|0|2;0|0|0;-;2;0,666666667;1,607712479;1,413331398;0,26;0;0;0;0;0;0;Q9V3C6;Q9V3C6;unreviewed;Q9V3C6_DROME;EG:BACR42I17.10 protein (FI03719p) (Uncharacterized protein, isoform B) (Uncharacterized protein, isoform C);EG:BACR42I17.10 CG11382-RB Dmel\CG11382 CG11382 Dmel_CG11382;505,0;CG11382 Dmel_CG11382;EG:BACR42I17.10;CG11382-RB Dmel\CG11382;;7227,0;FBgn0040367
111;MTCNK7H30;MTCNK7H30;A1Z8Q0;Twdlbeta;Tweedlebeta;;"FBgn0033658;";0|0|2;0|0|0;-;2;0,666666667;1,607712479;1,413331398;0,26;0;0;0;0;0;0;A1Z8Q0;A1Z8Q0;unreviewed;A1Z8Q0_DROME;Tweedlebeta;Twdlbeta CT25838 Dmel\CG8986 TwdlBeta CG8986 Dmel_CG8986;198,0;CG8986 Dmel_CG8986;Twdlbeta;CT25838 Dmel\CG8986 TwdlBeta;"extracellular matrix [GO:0031012]; structural constituent of chitin-based cuticle [GO:0005214]; body morphogenesis [GO:0010171]; chitin-based cuticle development [GO:0040003]";7227,0;FBgn0033658
112;MTCNK7H30;MTCNK7H30;Q9VR56;trmt10a;tRNA methyltransferase 10 homolog A (EC 2.1.1.221) (RNA (guanine-9-)-methyltransferase domain-containing protein 2 homolog);;"FBgn0031189;";0|2|1;0|0|0;-;3;1;2,083599751;1,855006515;0,26;0;0;0;0;0;0;Q9VR56;Q9VR56;reviewed;TM10A_DROME;tRNA methyltransferase 10 homolog A (EC 2.1.1.221) (RNA (guanine-9-)-methyltransferase domain-containing protein 2 homolog);trmt10a CG14618;319,0;CG14618;trmt10a;;"nucleoplasm [GO:0005654]; nucleus [GO:0005634]; tRNA (guanine(9)-N(1))-methyltransferase activity [GO:0052905]; tRNA (guanine-N1-)-methyltransferase activity [GO:0009019]; tRNA binding [GO:0000049]; tRNA N1-guanine methylation [GO:0002939]";7227,0;FBgn0031189
113;MTCNK7H30;MTCNK7H30;Q8IGV1;Saf-B;RE24907p;;"FBgn0039229;";0|0|2;0|0|0;-;2;0,666666667;1,607712479;1,413331398;0,26;0;0;0;0;0;0;Q8IGV1;Q8IGV1;unreviewed;Q8IGV1_DROME;RE24907p;Saf-B CG6995;977,0;CG6995;Saf-B;;"nuclear matrix [GO:0016363]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; mRNA binding [GO:0003729]; sequence-specific DNA binding [GO:0043565]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; regulation of mRNA processing [GO:0050684]; regulation of transcription by RNA polymerase II [GO:0006357]";7227,0;FBgn0039229
114;MTCNK7H30;MTCNK7H30;M9NE38;jv;Protein javelin;;"FBgn0263973;";0|0|2;0|0|0;-;2;0,666666667;1,607712479;1,413331398;0,26;0;0;0;0;0;0;M9NE38;M9NE38;reviewed;JV_DROME;Protein javelin;jv CG32397;1912,0;CG32397;jv;;"cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; chaeta morphogenesis [GO:0008407]; parallel actin filament bundle assembly [GO:0030046]";7227,0;FBgn0263973
115;MTCNK7H30;MTCNK7H30;Q9W0Q2;Cypl;Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8);;"FBgn0035141;";0|0|2;0|0|0;-;2;0,666666667;1,607712479;1,413331398;0,26;0;0;0;0;0;0;Q9W0Q2;Q9W0Q2;unreviewed;Q9W0Q2_DROME;Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8);Cypl cycl cypl Dmel\CG13892 CG13892 Dmel_CG13892;176,0;CG13892 Dmel_CG13892;Cypl;cycl cypl Dmel\CG13892;"catalytic step 2 spliceosome [GO:0071013]; precatalytic spliceosome [GO:0071011]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; mRNA splicing, via spliceosome [GO:0000398]; protein folding [GO:0006457]; protein peptidyl-prolyl isomerization [GO:0000413]";7227,0;FBgn0035141
116;MTCNK7H30;MTCNK7H30;Q7YZH1;rno;PHD finger protein rhinoceros;;"FBgn0035106;";0|0|2;0|0|0;-;2;0,666666667;1,607712479;1,413331398;0,26;0;0;0;0;0;0;Q7YZH1;Q7YZH1;reviewed;RNO_DROME;PHD finger protein rhinoceros;rno CG7036;3241,0;CG7036;rno;;"nucleus [GO:0005634]; metal ion binding [GO:0046872]; compound eye photoreceptor development [GO:0042051]; regulation of transcription by RNA polymerase II [GO:0006357]";7227,0;FBgn0035106
117;MTCNK7H30;MTCNK7H30;A0A0B4LFB3;Tango7;Eukaryotic translation initiation factor 3 subunit M (eIF3m) (Transport and Golgi organization protein 7) (Tango-7);;"FBgn0033902;";9|2|1;4|1|2;-;12;4;1,758562726;1,209735838;0,25;0;0;0;0;0;0;A0A0B4LFB3;A0A0B4LFB3;unreviewed;A0A0B4LFB3_DROME;Eukaryotic translation initiation factor 3 subunit M (eIF3m) (Transport and Golgi organization protein 7) (Tango-7);eIF3m anon-EST:Posey67 anon-EST:Posey76 Dmel\CG8309 eIF3M Tango 7 TANGO7 Tango7 tango7 Tng7 CG8309 Dmel_CG8309;387,0;CG8309 Dmel_CG8309;eIF3m;anon-EST:Posey67 anon-EST:Posey76 Dmel\CG8309 eIF3M Tango 7 TANGO7 Tango7 tango7 Tng7;"eukaryotic 43S preinitiation complex [GO:0016282]; eukaryotic 48S preinitiation complex [GO:0033290]; eukaryotic translation initiation factor 3 complex, eIF3m [GO:0071541]; Golgi apparatus [GO:0005794]; translation initiation factor activity [GO:0003743]; formation of cytoplasmic translation initiation complex [GO:0001732]";7227,0;FBgn0033902
118;MTCNK7H30;MTCNK7H30;E1JJN9;Set2;SET domain containing 2, isoform B (EC 2.1.1.354);;"FBgn0030486;";0|0|11;0|0|4;-;11;3,666666667;2,110447818;1,081762892;0,25;0;0;0;0;0;0;E1JJN9;E1JJN9;unreviewed;E1JJN9_DROME;SET domain containing 2, isoform B (EC 2.1.1.354);Set2 dHypb Dmel\CG1716 dSet2 Hypb SET2 set2 CG1716 Dmel_CG1716;2313,0;CG1716 Dmel_CG1716;Set2;dHypb Dmel\CG1716 dSet2 Hypb SET2 set2;"chromosome [GO:0005694]; nucleus [GO:0005634]; DNA binding [GO:0003677]; histone H3K36 methyltransferase activity [GO:0046975]; histone H3K4 trimethyltransferase activity [GO:0140999]; histone H3-K36 trimethylation [GO:0097198]; regulation of DNA-templated transcription [GO:0006355]";7227,0;FBgn0030486
119;MTCNK7H30;MTCNK7H30;Q9VMR6;CG12512-RA;Acyl-CoA synthetase family member 2 (EC 6.2.1.2) (MIP06029p);;"FBgn0031703;";6|0|0;0|2|0;-;6;2;2,423555046;1,307263421;0,25;0;0;0;0;0;0;Q9VMR6;Q9VMR6;unreviewed;Q9VMR6_DROME;Acyl-CoA synthetase family member 2 (EC 6.2.1.2) (MIP06029p);Acsf2 ACSF2 CG12512-RA Dmel\CG12512 CG12512 Dmel_CG12512;593,0;CG12512 Dmel_CG12512;Acsf2;ACSF2 CG12512-RA Dmel\CG12512;"peroxisome [GO:0005777]; CoA-ligase activity [GO:0016405]; fatty acid ligase activity [GO:0015645]; medium-chain fatty acid-CoA ligase activity [GO:0031956]; fatty acid biosynthetic process [GO:0006633]; fatty acid metabolic process [GO:0006631]";7227,0;FBgn0031703
120;MTCNK7H30;MTCNK7H30;Q8IGS2;nyo;RE37929p;;"FBgn0039852;";0|8|9;1|4|3;-;17;5,666666667;1,926862163;1,284293988;0,25;0;0;0;0;0;0;Q8IGS2;Q8IGS2;unreviewed;Q8IGS2_DROME;RE37929p;nyo CG1499;805,0;CG1499;nyo;;"membrane [GO:0016020]; apical constriction [GO:0003383]; regulation of embryonic cell shape [GO:0016476]";7227,0;FBgn0039852
121;MTCNK7H30;MTCNK7H30;A0A0B4KGI6;cno;Canoe, isoform G;;"FBgn0259212;";2|0|5;0|0|2;-;7;2,333333333;2,299873737;1,83775168;0,24;0;0;0;0;0;0;A0A0B4KGI6;A0A0B4KGI6;unreviewed;A0A0B4KGI6_DROME;Canoe, isoform G;cno AF-6 anon-WO0172774.47 Canoe CG2534 CG31537 Cno cno? dlhA Dmel\CG42312 EC3-10 lip mis CG42312 Dmel_CG42312;1951,0;CG42312 Dmel_CG42312;cno;AF-6 anon-WO0172774.47 Canoe CG2534 CG31537 Cno cno? dlhA Dmel\CG42312 EC3-10 lip mis;"adherens junction [GO:0005912]; cell cortex [GO:0005938]; cell adhesion molecule binding [GO:0050839]; protein domain specific binding [GO:0019904]; cell adhesion [GO:0007155]; compound eye development [GO:0048749]; dorsal closure [GO:0007391]; embryonic morphogenesis [GO:0048598]; epidermis morphogenesis [GO:0048730]; establishment of mitotic spindle orientation [GO:0000132]; glial cell proliferation [GO:0014009]; regulation of JNK cascade [GO:0046328]; regulation of protein localization [GO:0032880]; second mitotic wave involved in compound eye morphogenesis [GO:0016330]; signal transduction [GO:0007165]";7227,0;FBgn0259212
122;MTCNK7H30;MTCNK7H30;A0A1B2ALR4;A0A1B2ALR4;GEO09496p1;;;0|0|8;0|0|3;-;8;2,666666667;1,913270296;1,128766133;0,23;0;0;0;0;0;0;A0A1B2ALR4;A0A1B2ALR4;unreviewed;A0A1B2ALR4_DROME;GEO09496p1;;51,0;;;;"ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]";7227,0;FBgn0023170
123;MTCNK7H30;MTCNK7H30;G7H829;ck;Crinkled, isoform C (EC 5.6.1.8) (Crinkled, isoform D) (LD10736p1);;"FBgn0000317;";4|0|27;1|2|13;-;31;10,33333333;2,015978456;1,014235139;0,22;0;0;0;0;0;0;G7H829;G7H829;unreviewed;G7H829_DROME;Crinkled, isoform C (EC 5.6.1.8) (Crinkled, isoform D) (LD10736p1);ck 53D10S anon-35Bb BG:DS00929.11 br27 CK ck-RA ck/MyoVIIA D D2 Dm 35B DM7a Dmel\CG7595 DmVIIA DmVIIa DMyoVIIa Dro35B ESTS:53D10S l(1)35Ca l(2)07130 l(2)35Ca l(2)br27 l35Ca Mhc35BC Myo7A Myo7B myosin-7a MyoVIIA myoVIIA myoVIIa stc stch CG7595 Dmel_CG7595;2167,0;CG7595 Dmel_CG7595;ck;53D10S anon-35Bb BG:DS00929.11 br27 CK ck-RA ck/MyoVIIA D D2 Dm 35B DM7a Dmel\CG7595 DmVIIA DmVIIa DMyoVIIa Dro35B ESTS:53D10S l(1)35Ca l(2)07130 l(2)35Ca l(2)br27 l35Ca Mhc35BC Myo7A Myo7B myosin-7a MyoVIIA myoVIIA myoVIIa stc stch;"cell periphery [GO:0071944]; cytoplasm [GO:0005737]; myosin complex [GO:0016459]; plasma membrane bounded cell projection [GO:0120025]; actin binding [GO:0003779]; ATP binding [GO:0005524]; cytoskeletal motor activity [GO:0003774]; isomerase activity [GO:0016853]; animal organ morphogenesis [GO:0009887]; neuron differentiation [GO:0030182]";7227,0;FBgn0000317
124;MTCNK7H30;MTCNK7H30;D5SHQ9;CG15756-RA;LP22592p;;;0|0|37;2|0|20;-;37;12,33333333;1,693408791;0,451279269;0,22;0;0;0;0;0;0;D5SHQ9;D5SHQ9;unreviewed;D5SHQ9_DROME;LP22592p;CG15756-RA;299,0;;CG15756-RA;;structural constituent of cuticle [GO:0042302];7227,0;FBgn0030493
125;MTCNK7H30;MTCNK7H30;Q7JYY0;RpS30;RH08962p;;"FBgn0038834;";2|6|42;2|5|21;-;50;16,66666667;1,876811419;1,184599842;0,22;0;0;0;0;0;0;Q7JYY0;Q7JYY0;unreviewed;Q7JYY0_DROME;RH08962p;RpS30 CG15697;147,0;CG15697;RpS30;;"cytosolic small ribosomal subunit [GO:0022627]; structural constituent of ribosome [GO:0003735]; cytoplasmic translation [GO:0002181]";7227,0;FBgn0038834
126;MTCNK7H30;MTCNK7H30;Q9VPN5;Hop;LD03220p (Stress induced phosphoprotein 1);;"FBgn0024352;";8|3|10;0|0|7;-;21;7;3,225501597;2,943995844;0,21;0;0;0;0;0;0;Q9VPN5;Q9VPN5;unreviewed;Q9VPN5_DROME;LD03220p (Stress induced phosphoprotein 1);Stip1 dHop dhop Dmel\CG2720 dmSTI1 dSTI1 dSTIP1 EP(2)0418 HOP Hop hop l(2)k00616 Sti1 stip1 CG2720 Dmel_CG2720;490,0;CG2720 Dmel_CG2720;Stip1;dHop dhop Dmel\CG2720 dmSTI1 dSTI1 dSTIP1 EP(2)0418 HOP Hop hop l(2)k00616 Sti1 stip1;"cytoplasm [GO:0005737]; multivesicular body fusion to apical plasma membrane [GO:0098866]";7227,0;FBgn0024352
127;MTCNK7H30;MTCNK7H30;Q9XZ06;Nup93-1;Nuclear pore complex protein Nup93-1 (Nucleoporin 93kD-1) (Nucleoporin Nup93-1);;"FBgn0027537;";7|0|0;0|3|1;-;7;2,333333333;2,009176348;1,009349503;0,2;0;0;0;0;0;0;Q9XZ06;Q9XZ06;reviewed;NU931_DROME;Nuclear pore complex protein Nup93-1 (Nucleoporin 93kD-1) (Nucleoporin Nup93-1);Nup93-1 CG11092;823,0;CG11092;Nup93-1;;"nuclear membrane [GO:0031965]; nuclear periphery [GO:0034399]; nuclear pore [GO:0005643]; nuclear pore nuclear basket [GO:0044615]; nucleoplasm [GO:0005654]; chromatin binding [GO:0003682]; chromatin DNA binding [GO:0031490]; structural constituent of nuclear pore [GO:0017056]; chromosome attachment to the nuclear envelope [GO:0097240]; negative regulation of gene expression, epigenetic [GO:0045814]; nuclear pore organization [GO:0006999]; oocyte karyosome formation [GO:0030717]; poly(A)+ mRNA export from nucleus [GO:0016973]; protein import into nucleus [GO:0006606]; protein localization to nuclear inner membrane [GO:0036228]; regulation of nucleus size [GO:0097298]";7227,0;FBgn0027537
128;MTCNK7H30;MTCNK7H30;Q9Y119;Tps1;BcDNA.GH08860 (RE05454p) (Trehalose-6-phosphate synthase 1 (EC 2.4.1.15, EC 3.1.3.12));;"FBgn0027560;";2|0|2;1|0|0;-;4;1,333333333;1,770716015;1,524082571;0,2;0;0;0;0;0;0;Q9Y119;Q9Y119;unreviewed;Q9Y119_DROME;BcDNA.GH08860 (RE05454p) (Trehalose-6-phosphate synthase 1 (EC 2.4.1.15, EC 3.1.3.12));Tps1 19920676 BcDNA.GH08860 BcDNA:GH08860 CG4104 PA Dmel\CG4104 DmTPS1 dTps1 dtps1 jf5 l(2)24Ea l(2)jf4 l(2)jf5 l(2)k08903 TPS tps tps1 TreS CG4104 Dmel_CG4104;809,0;CG4104 Dmel_CG4104;Tps1;19920676 BcDNA.GH08860 BcDNA:GH08860 CG4104 PA Dmel\CG4104 DmTPS1 dTps1 dtps1 jf5 l(2)24Ea l(2)jf4 l(2)jf5 l(2)k08903 TPS tps tps1 TreS;"alpha,alpha-trehalose-phosphate synthase complex (UDP-forming) [GO:0005946]; alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity [GO:0003825]; trehalose-phosphatase activity [GO:0004805]; trehalose biosynthetic process [GO:0005992]; trehalose metabolism in response to stress [GO:0070413]";7227,0;FBgn0027560
129;MTCNK7H30;MTCNK7H30;Q9VZE0;dyl;Dusky-like, isoform A (Dusky-like, isoform B) (Dusky-like, isoform C) (FI19835p1);;"FBgn0066365;";0|0|16;0|4|7;-;16;5,333333333;1,414624222;0,602819614;0,2;0;0;0;0;0;0;Q9VZE0;Q9VZE0;unreviewed;Q9VZE0_DROME;Dusky-like, isoform A (Dusky-like, isoform B) (Dusky-like, isoform C) (FI19835p1);dyl Dmel\CG15013 Dyl dyl-RA CG15013 Dmel_CG15013;611,0;CG15013 Dmel_CG15013;dyl;Dmel\CG15013 Dyl dyl-RA;"apical plasma membrane [GO:0016324]; structural constituent of chitin-based cuticle [GO:0005214]; actin filament organization [GO:0007015]; apical constriction [GO:0003383]; cell-matrix adhesion [GO:0007160]; regulation of embryonic cell shape [GO:0016476]";7227,0;FBgn0066365
130;MTCNK7H30;MTCNK7H30;Q9VKC8;Tom70;FI03495p (Translocase of outer membrane 70, isoform A) (Translocase of outer membrane 70, isoform B) (Translocase of outer membrane 70, isoform C);;"FBgn0032397;";4|0|0;1|1|0;-;4;1,333333333;1,66854759;1,065260284;0,19;0;0;0;0;0;0;Q9VKC8;Q9VKC8;unreviewed;Q9VKC8_DROME;FI03495p (Translocase of outer membrane 70, isoform A) (Translocase of outer membrane 70, isoform B) (Translocase of outer membrane 70, isoform C);Tom70 Dmel\CG6756 dtom70 RE66761p Tom70-RA CG6756 Dmel_CG6756;589,0;CG6756 Dmel_CG6756;Tom70;Dmel\CG6756 dtom70 RE66761p Tom70-RA;"mitochondrial outer membrane translocase complex [GO:0005742]; mitochondrion targeting sequence binding [GO:0030943]; protein import into mitochondrial matrix [GO:0030150]; protein insertion into mitochondrial inner membrane [GO:0045039]; protein targeting to mitochondrion [GO:0006626]";7227,0;FBgn0032397
131;MTCNK7H30;MTCNK7H30;Q9VFV9;Droj2;DnaJ-like-2, isoform A (DnaJ-like-2, isoform B) (DnaJ-like-2, isoform C) (DnaJ-like-2, isoform D) (DnaJ-like-2, isoform E) (GM13664p);;"FBgn0038145;";9|5|12;3|0|6;-;26;8,666666667;2,770993245;2,643932809;0,19;0;0;0;0;0;0;Q9VFV9;Q9VFV9;unreviewed;Q9VFV9_DROME;DnaJ-like-2, isoform A (DnaJ-like-2, isoform B) (DnaJ-like-2, isoform C) (DnaJ-like-2, isoform D) (DnaJ-like-2, isoform E) (GM13664p);Droj2 anon-WO0118547.404 Dmel\CG8863 DnaJL2A DROJ2 Hsp40 CG8863 Dmel_CG8863;403,0;CG8863 Dmel_CG8863;Droj2;anon-WO0118547.404 Dmel\CG8863 DnaJL2A DROJ2 Hsp40;"cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; ATP binding [GO:0005524]; Hsp70 protein binding [GO:0030544]; metal ion binding [GO:0046872]; protein-folding chaperone binding [GO:0051087]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]; response to heat [GO:0009408]";7227,0;FBgn0038145
132;MTCNK7H30;MTCNK7H30;C7LA95;C7LA95;FI05817p;;;8|1|5;0|0|5;-;14;4,666666667;2,969939589;2,319800028;0,19;0;0;0;0;0;0;C7LA95;C7LA95;unreviewed;C7LA95_DROME;FI05817p;;932,0;;;;"cytoplasm [GO:0005737]; 4 iron, 4 sulfur cluster binding [GO:0051539]; aconitate hydratase activity [GO:0003994]; citrate dehydratase activity [GO:0047780]; metal ion binding [GO:0046872]";7227,0;FBgn0024957
133;MTCNK7H30;MTCNK7H30;P17886;crn;Protein crooked neck;;"FBgn0000377;";1|0|14;1|2|7;-;15;5;1,449667014;0,819117074;0,18;0;0;0;0;0;0;P17886;P17886;reviewed;CRN_DROME;Protein crooked neck;crn CG3193;702,0;CG3193;crn;;"catalytic step 2 spliceosome [GO:0071013]; cytosol [GO:0005829]; nuclear speck [GO:0016607]; nucleus [GO:0005634]; post-mRNA release spliceosomal complex [GO:0071014]; precatalytic spliceosome [GO:0071011]; Prp19 complex [GO:0000974]; U2-type catalytic step 2 spliceosome [GO:0071007]; RNA binding [GO:0003723]; axon ensheathment [GO:0008366]; glial cell migration [GO:0008347]; Malpighian tubule morphogenesis [GO:0007443]; mRNA splicing, via spliceosome [GO:0000398]; oenocyte development [GO:0007438]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; spliceosomal complex assembly [GO:0000245]";7227,0;FBgn0000377
134;MTCNK7H30;MTCNK7H30;A1Z9G2;fand;Pre-mRNA-splicing factor syf1 homolog (Pre-mRNA-splicing factor fandango) (Protein faint sausage);;"FBgn0033859;";0|2|14;0|1|8;-;16;5,333333333;1,754816705;1,041728978;0,17;0;0;0;0;0;0;A1Z9G2;A1Z9G2;reviewed;SYF1_DROME;Pre-mRNA-splicing factor syf1 homolog (Pre-mRNA-splicing factor fandango) (Protein faint sausage);fand fas CG6197;883,0;CG6197;fand;fas;"catalytic step 2 spliceosome [GO:0071013]; nucleus [GO:0005634]; post-mRNA release spliceosomal complex [GO:0071014]; precatalytic spliceosome [GO:0071011]; Prp19 complex [GO:0000974]; U2-type catalytic step 2 spliceosome [GO:0071007]; cardioblast cell fate determination [GO:0007510]; generation of catalytic spliceosome for first transesterification step [GO:0000349]; Malpighian tubule morphogenesis [GO:0007443]; morphogenesis of an epithelium [GO:0002009]; mRNA splicing, via spliceosome [GO:0000398]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; RNA splicing [GO:0008380]";7227,0;FBgn0033859
135;MTCNK7H30;MTCNK7H30;E1JJI5;CkIalpha;Casein kinase ialpha, isoform D (EC 2.7.11.-) (Casein kinase ialpha, isoform E) (Casein kinase ialpha, isoform F);;"FBgn0015024;";0|3|11;3|5|0;-;14;4,666666667;1,368210419;0,912750246;0,17;0;0;0;0;0;0;E1JJI5;E1JJI5;unreviewed;E1JJI5_DROME;Casein kinase ialpha, isoform D (EC 2.7.11.-) (Casein kinase ialpha, isoform E) (Casein kinase ialpha, isoform F);CkIalpha anon-WO03040301.93 anon-WO03040301.95 CK I CK1 CK1a ck1a CK1alpha Ck1alpha ck1alpha CKI ckI CKI alpha CkI alpha CKIa CkIa CKIalpha ckIalpha dmCK1 dmckI Dmel\CG2028 l(1)G0492 PKA-C CG2028 Dmel_CG2028;337,0;CG2028 Dmel_CG2028;CkIalpha;anon-WO03040301.93 anon-WO03040301.95 CK I CK1 CK1a ck1a CK1alpha Ck1alpha ck1alpha CKI ckI CKI alpha CkI alpha CKIa CkIa CKIalpha ckIalpha dmCK1 dmckI Dmel\CG2028 l(1)G0492 PKA-C;"ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]; protein phosphorylation [GO:0006468]";7227,0;FBgn0015024
136;MTCNK7H30;MTCNK7H30;A0A0B4KEG7;Lcp2;Larval cuticle protein 2, isoform B;;"FBgn0002533;";1|5|5;1|0|3;-;11;3,666666667;2,193875227;2,015140335;0,17;0;0;0;0;0;0;A0A0B4KEG7;A0A0B4KEG7;unreviewed;A0A0B4KEG7_DROME;Larval cuticle protein 2, isoform B;Lcp2 2 CP2 Dmel\CG8697 DmelLcp2 II L[[3]]CP2 LCP-2 LCP2 lcp2 CG8697 Dmel_CG8697;126,0;CG8697 Dmel_CG8697;Lcp2;2 CP2 Dmel\CG8697 DmelLcp2 II L[[3]]CP2 LCP-2 LCP2 lcp2;structural constituent of cuticle [GO:0042302];7227,0;FBgn0002533
